id	Age	EduLevel	Gender	ReadAb	Q44	Q63	Q76	Q77	Q84	Q98	Q170	Q196
616	32	5	1	4	3	3	4	4	3	4	4	4
618	22	2	1	4	4	4	4	5	4	3	3	4
620	21	2	1	3	4	5	4	4	3	4	4	4
622	27	2	2	4	3	4	3	3	1	4	5	4
623	32	2	2	4	3	5	4	5	3	5	5	5
624	27	4	2	4	3	4	5	3	-999	5	1	4
625	39	2	2	4	4	5	4	5	5	5	5	5
626	-999	2	2	4	4	5	4	2	2	4	4	3
627	22	-999	1	4	3	4	4	5	4	5	5	5
628	25	2	2	4	4	5	5	4	5	5	5	4
629	-999	6	2	-999	3	3	3	4	3	4	-999	4
630	25	4	2	4	4	3	5	4	3	4	5	4
632	32	4	2	3	3	4	4	3	4	4	4	3
633	-999	5	2	4	4	4	5	3	3	4	5	5
634	-999	4	2	4	4	4	3	4	2	4	4	4
635	27	-999	2	4	4	3	4	4	4	4	5	5
637	-999	2	2	-999	4	5	5	4	4	5	5	5
638	25	2	2	4	4	4	5	5	5	5	5	4
640	25	3	1	4	4	3	5	4	3	3	3	3
641	28	-999	2	4	4	4	1	4	2	4	5	4
643	-999	-999	-999	-999	3	4	4	3	4	4	4	1
644	49	5	2	4	3	2	3	3	3	4	5	4
647	38	6	2	3	3	3	2	3	3	4	3	3
649	42	5	1	4	3	4	2	2	3	4	4	3
650	43	5	2	4	1	3	3	3	2	3	3	4
651	39	6	1	4	3	3	2	4	4	4	5	4
652	-999	4	2	4	3	4	4	2	3	3	3	2
653	39	3	1	4	4	4	4	4	4	4	5	5
654	-999	5	1	3	3	3	3	3	2	4	3	-999
655	-999	5	2	3	3	-999	2	3	2	3	4	4
656	35	2	2	4	3	4	2	-999	3	4	4	4
657	45	5	2	4	3	4	5	3	3	4	3	2
658	33	3	1	4	5	4	3	4	4	5	3	3
659	73	7	2	4	4	5	2	2	2	5	5	-999
660	-999	4	2	4	2	4	2	3	3	4	4	3
661	23	5	2	3	3	2	2	2	1	3	4	4
665	49	2	1	3	5	5	5	4	3	5	5	5
666	-999	-999	1	4	1	3	1	1	1	1	5	1
668	26	4	1	4	5	5	5	5	5	4	5	5
669	21	2	2	4	4	4	2	4	3	4	5	4
670	51	2	2	3	4	3	3	3	3	4	4	4
671	-999	3	2	4	4	5	5	4	5	5	5	5
